"filename", "language", "Dockerfile", "Properties", "Shell Script", "Markdown", "YAML", "Ini", "C++", "C", "Python", "Protocol Buffers", "JSON", "Diff", "Go", "Makefile", "Lua", "comment", "blank", "total"
"c:\FILES\CURVE\curve\curve-ansible\deploy_curve_sdk.yml", "YAML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 3, 32
"c:\FILES\CURVE\curve\curve-ansible\deploy_etcd.yml", "YAML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 3, 45
"c:\FILES\CURVE\curve\curve-ansible\deploy_mds.yml", "YAML", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 4, 61
"c:\FILES\CURVE\curve\curve-ansible\deploy_nbd.yml", "YAML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 3, 30
"c:\FILES\CURVE\curve\curve-ansible\deploy_nebd.yml", "YAML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 4, 44
"c:\FILES\CURVE\curve\curve-ansible\deploy_snapshotcloneserver.yml", "YAML", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 3, 50
"c:\FILES\CURVE\curve\curve-ansible\deploy_snapshotcloneserver_nginx.yml", "YAML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 4, 49
"c:\FILES\CURVE\curve\curve-ansible\group_vars\chunkservers.yml", "YAML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 22
"c:\FILES\CURVE\curve\curve-ansible\group_vars\mds.yml", "YAML", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 50
"c:\FILES\CURVE\curve\curve-ansible\host_vars\localhost.yml", "YAML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 23
"c:\FILES\CURVE\curve\curve-ansible\roles\format_chunkserver\defaults\main.yml", "YAML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 19
"c:\FILES\CURVE\curve\curve-ansible\roles\format_chunkserver\tasks\include\prepare_chunkserver_with_disk_format.yml", "YAML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 22
"c:\FILES\CURVE\curve\curve-ansible\roles\format_chunkserver\tasks\include\prepare_chunkserver_without_disk_format.yml", "YAML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 26
"c:\FILES\CURVE\curve\curve-ansible\roles\format_chunkserver\tasks\main.yml", "YAML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 25
"c:\FILES\CURVE\curve\curve-ansible\roles\generate_config\defaults\main.yml", "YAML", 0, 0, 0, 0, 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 16, 259
"c:\FILES\CURVE\curve\curve-ansible\roles\generate_config\tasks\main.yml", "YAML", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"c:\FILES\CURVE\curve\curve-ansible\roles\generate_config\vars\main.yml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 20
"c:\FILES\CURVE\curve\curve-ansible\roles\install_package\defaults\main.yml", "YAML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 50
"c:\FILES\CURVE\curve\curve-ansible\roles\install_package\files\disk_uuid_repair.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 37, 35, 226
"c:\FILES\CURVE\curve\curve-ansible\roles\install_package\tasks\include\copy_file_to_remote.yml", "YAML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 44
"c:\FILES\CURVE\curve\curve-ansible\roles\install_package\tasks\include\install_aws-sdk.yml", "YAML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 31
"c:\FILES\CURVE\curve\curve-ansible\roles\install_package\tasks\include\install_curve-chunkserver.yml", "YAML", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8, 60
"c:\FILES\CURVE\curve\curve-ansible\roles\install_package\tasks\include\install_curve-mds.yml", "YAML", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8, 50
"c:\FILES\CURVE\curve\curve-ansible\roles\install_package\tasks\include\install_curve-nbd.yml", "YAML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 36
"c:\FILES\CURVE\curve\curve-ansible\roles\install_package\tasks\include\install_curve-sdk.yml", "YAML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 56
"c:\FILES\CURVE\curve\curve-ansible\roles\install_package\tasks\include\install_curve-snapshotcloneserver-nginx.yml", "YAML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 1, 23
"c:\FILES\CURVE\curve\curve-ansible\roles\install_package\tasks\include\install_curve-snapshotcloneserver.yml", "YAML", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 48
"c:\FILES\CURVE\curve\curve-ansible\roles\install_package\tasks\include\install_curve-tools.yml", "YAML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 25
"c:\FILES\CURVE\curve\curve-ansible\roles\install_package\tasks\include\install_daemon.yml", "YAML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 34
"c:\FILES\CURVE\curve\curve-ansible\roles\install_package\tasks\include\install_deb_package.yml", "YAML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 22
"c:\FILES\CURVE\curve\curve-ansible\roles\install_package\tasks\include\install_etcd.yml", "YAML", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 11, 67
"c:\FILES\CURVE\curve\curve-ansible\roles\install_package\tasks\include\install_jemalloc.yml", "YAML", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"c:\FILES\CURVE\curve\curve-ansible\roles\install_package\tasks\include\install_nebd.yml", "YAML", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 12, 82
